,번호,구분,근거,화장실명,소재지도로명주소,소재지지번주소,남성용-대변기수,남성용-소변기수,남성용-장애인용대변기수,남성용-장애인용소변기수,남성용-어린이용대변기수,남성용-어린이용소변기수,여성용-대변기수,여성용-장애인용대변기수,여성용-어린이용대변기수,관리기관명,전화번호,개방시간,개방시간상세,설치연월,WGS84위도,WGS84경도,화장실소유구분,오물처리방식,안전관리시설설치대상여부,비상벨설치여부,비상벨설치장소,화장실입구CCTV설치유무,기저귀교환대유무,기저귀교환대장소,리모델링연월,데이터기준일자,시군구명,읍면동명,설치연도,기저귀교환대,CCTV,비상벨,장애인화장실,어린이대변기
3145,3146,개방화장실,법제3조제6호,영천(대구)휴게소,경상북도 영천시 임고면 운주로 791,경상북도 영천시 임고면 금대리 99,16,11,1,1,1,0,33,1,1,한국도로공사,054-338-0037,상시,,2004-11,36.0534003,129.0442412,공공기관-국가공공기관,수세식,Y,Y,장애인화장실+남자화장실+여자화장실,Y,Y,남자화장실+여자화장실,,2024-08-05,영천시,임고면,2004.0,True,True,True,True,True
3146,3147,개방화장실,법제3조제6호,영천(포항방향)휴게소,"경상북도 영천시 임고면 운주로 777, 영천(포항방향)주유소",경상북도 영천시 임고면 금대리 103 영천(포항방향)주유소,16,11,1,1,1,0,33,1,1,한국도로공사,054-338-0062,상시,,2004-11,36.0513146,129.0425047,공공기관-국가공공기관,수세식,Y,Y,장애인화장실+남자화장실+여자화장실,Y,Y,남자화장실+여자화장실,,2024-08-05,영천시,임고면,2004.0,True,True,True,True,True
3147,3148,개방화장실,법제3조제16호-영제3조제1항제1호,국립영천호국원,"경상북도 영천시 고경면 호국로 1720, 국립영천호국원",경상북도 영천시 고경면 청정리 700 국립영천호국원,21,28,5,3,2,2,40,5,2,국립영천호국원,054-330-0850,정시,09:00~18:00,2001-01,35.9803943,129.1092773,공공기관-국가공공기관,수세식,Y,N,없음,N,Y,남자화장실+여자화장실,,2024-08-05,영천시,고경면,2001.0,True,False,False,True,True
3148,3149,개방화장실,법제3조제16호-영제3조제1항제1호,국민건강보험공단영천지사,"경상북도 영천시 중앙동1길 45, 국민건강보험공단 (문외동)",경상북도 영천시 문외동 138-5 국민건강보험공단,2,2,2,1,0,0,2,1,0,국민건강보험공단영천지사,054-330-0710,정시,주중(09:00~18:00),2008-03,35.9736706,128.9332622,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,Y,Y,남자화장실+여자화장실,N,Y,여자화장실,,2024-08-05,영천시,문외동,2008.0,True,False,True,True,False
3149,3150,공중화장실,법제3조제5호,신녕천 고향의 강 공중화장실(2),,경상북도 영천시 쌍계동 504-14,1,3,1,0,0,0,2,1,0,영천시공원관리사업소,,상시,,2018-12,35.9662332,128.9110337,공공기관-지방자치단체,수세식,Y,Y,장애인화장실+여자화장실,N,N,없음,,2024-08-05,영천시,쌍계동,2018.0,False,False,True,True,False
3150,3151,공중화장실,법제3조제5호,신녕천 고향의 강 공중화장실(1),,경상북도 영천시 쌍계동 81-1,1,3,1,0,0,0,2,1,0,영천시공원관리사업소,,상시,,2018-12,35.9635827,128.9147521,공공기관-지방자치단체,수세식,Y,Y,장애인화장실+여자화장실,N,N,없음,,2024-08-05,영천시,쌍계동,2018.0,False,False,True,True,False
3151,3152,공중화장실,법제3조제13호,오수동공원 공중화장실(2),,경상북도 영천시 금호읍 봉죽리 526,1,0,0,0,0,0,1,0,0,영천시새마을체육과,,상시,,2018-01,35.948322,128.9197665,공공기관-지방자치단체,수거식,Y,Y,여자화장실,N,N,없음,,2024-08-05,영천시,금호읍,2018.0,False,False,True,False,False
3152,3153,공중화장실,법제3조제13호,은해사체육시설,,경상북도 영천시 청통면 치일리 98-7,1,2,1,0,0,0,3,1,0,영천시청통면행정복지센터,,상시,,2019-01,35.9922285,128.8009904,공공기관-지방자치단체,수세식,Y,Y,장애인화장실+여자화장실,N,Y,남자화장실+여자화장실,,2024-08-05,영천시,청통면,2019.0,True,False,True,True,False
3153,3154,공중화장실,법제3조제5호,신녕천강변공원,"경상북도 영천시 신녕면 치산효령로 15-8, 신녕천 강변공원 공중화장실",경상북도 영천시 신녕면 화성리 1003-25 신녕천 강변공원 공중화장실,1,2,0,0,0,0,2,1,0,영천시신녕면행정복지센터,,상시,,2017-01,36.0428623,128.7858533,공공기관-지방자치단체,수세식,Y,Y,여자화장실,N,N,없음,,2024-08-05,영천시,신녕면,2017.0,False,False,True,True,False
3154,3155,공중화장실,법제3조제13호,오수동공원 공중화장실(1),경상북도 오수5길 107,경상북도 영천시 오수동 434-1,1,2,0,0,0,0,2,0,0,영천시새마을체육과,,상시,,2018-01,35.9525091,128.9198868,공공기관-지방자치단체,수세식,Y,Y,여자화장실,N,N,없음,,2024-08-05,영천시,오수동,2018.0,False,False,True,False,False
3155,3156,공중화장실,법제3조제5호,보현산댐 하류공원 캠핑장화장실,,경상북도 영천시 화북면 횡계리 528-1,2,2,0,0,0,0,4,0,0,영천시공원관리사업소,,상시,,2014-12,36.1200268,128.9379568,공공기관-지방자치단체,수세식,Y,N,없음,N,N,없음,,2024-08-05,영천시,화북면,2014.0,False,False,False,False,False
3156,3157,개방화장실,법제3조제16호-영제3조제1항제2호,노계문학관 외부,경상북도 영천시 북안면 신평탑골길 93-33,경상북도 영천시 북안면 도천리 296,3,3,0,0,0,0,6,0,0,영천시문화예술과,,상시,,2018-01,35.8885849,129.0223708,공공기관-지방자치단체,수세식,Y,N,없음,N,Y,여자화장실,,2024-08-05,영천시,북안면,2018.0,True,False,False,False,False
3157,3158,개방화장실,법제3조제16호-영제3조제1항제2호,노계문학관 내부,경상북도 영천시 북안면 신평탑골길 93-33,경상북도 영천시 북안면 도천리 296,3,3,0,0,0,0,3,0,0,영천시문화예술과,,정시,정시(09:00∼18:00),2018-01,35.8885737,129.0220269,공공기관-지방자치단체,수세식,Y,N,없음,N,Y,여자화장실,,2024-08-05,영천시,북안면,2018.0,True,False,False,False,False
3158,3159,개방화장실,법제3조제16호-영제3조제1항제1호,대창면행정복지센터,경상북도 영천시 대창면 금박로 1057-7,경상북도 영천시 대창면 대창리 783-1,6,9,0,0,0,0,4,0,0,영천시대창면행정복지센터,,정시,정시(09:00∼18:00),1989-01,35.8759897,128.8946999,공공기관-지방자치단체,수세식,Y,N,없음,N,N,없음,,2024-08-05,영천시,대창면,1989.0,False,False,False,False,False
3159,3160,개방화장실,법제3조제16호-영제3조제1항제2호,최무선영상체험관,경상북도 영천시 금호읍 창산길 100-29,경상북도 영천시 금호읍 원기리 277,2,1,0,0,0,0,2,0,0,영천시문화예술과,,정시,정시(09:00∼18:00),2019-01,35.9075578,128.8803204,공공기관-지방자치단체,수세식,Y,N,없음,N,Y,남자화장실+여자화장실,,2024-08-05,영천시,금호읍,2019.0,True,False,False,False,False
3160,3161,개방화장실,법제3조제16호-영제3조제1항제2호,최무선과학관,경상북도 영천시 금호읍 창산길 100-29,경상북도 영천시 금호읍 원기리 277,8,9,0,0,0,0,9,0,0,영천시문화예술과,,정시,정시(09:00∼18:00),2012-01,35.9077538,128.8810647,공공기관-지방자치단체,수세식,Y,N,없음,N,Y,남자화장실+여자화장실,,2024-08-05,영천시,금호읍,2012.0,True,False,False,False,False
3161,3162,개방화장실,법제3조제16호-영제3조제1항제1호,고경면행정복지센터,경상북도 영천시 고경면 호국로 1065-25,경상북도 영천시 고경면 해선리 309-2,2,2,0,0,0,0,3,0,0,영천시고경면행정복지센터,,정시,정시(09:00∼18:00),1994-12,36.0016447,129.0459154,공공기관-지방자치단체,수세식,Y,N,없음,N,N,없음,,2024-08-05,영천시,고경면,1994.0,False,False,False,False,False
3162,3163,개방화장실,법제3조제16호-영제3조제1항제1호,경주세무서 영천지서,"경상북도 영천시 강변로 12, 영천세무서 (성내동)",경상북도 영천시 성내동 230,2,0,0,0,0,0,3,0,0,경주세무서영천지서,,정시,정시(09:00∼18:00),2008-12,35.9620312,128.9238606,공공기관-국가공공기관,수세식,Y,N,없음,N,N,없음,,2024-08-05,영천시,성내동,2008.0,False,False,False,False,False
3163,3164,개방화장실,법제3조제16호-영제3조제1항제2호,목재문화체험장,경상북도 영천시 화북면 배나무정길332,경상북도 영천시 화북면 입석리 산 49번지 25호,7,10,0,0,0,0,10,0,0,영천시산림과,,정시,정시(09:00∼18:00),2017-01,36.1410012,128.9785037,공공기관-지방자치단체,수세식,Y,N,없음,N,N,없음,,2024-08-05,영천시,화북면,2017.0,False,False,False,False,False
3164,3165,개방화장실,법제3조제5호,보현산댐 별빛전망대,"경상북도 영천시 화북면 천문로 2610, 별빛전망대",경상북도 영천시 화북면 입석리 611-2,3,3,1,0,0,0,5,1,0,영천시공원관리사업소,,상시,,2016-01,36.1270322,128.9527054,공공기관-지방자치단체,수세식,Y,N,없음,N,N,없음,,2024-08-05,영천시,화북면,2016.0,False,False,False,True,False
3165,3166,개방화장실,법제3조제1호,천문전시체험관,경상북도 영천시 화북면 별빛로 681-32,경상북도 영천시 화북면 정각리 689,1,2,0,0,0,0,4,0,0,영천시관광진흥과,,정시,정시(09:00∼18:00),2018-01,36.1401753,128.9974462,공공기관-지방자치단체,수세식,Y,N,없음,N,N,없음,,2024-08-05,영천시,화북면,2018.0,False,False,False,False,False
3166,3167,개방화장실,법제3조제1호,천문과학관,경상북도 영천시 화북면 별빛로 681-32,경상북도 영천시 화북면 정각리 689,2,2,0,0,0,0,3,0,0,영천시관광진흥과,,정시,정시(09:00∼18:00),2009-01,36.1402987,128.9967783,공공기관-지방자치단체,수세식,Y,N,없음,N,Y,여자화장실,,2024-08-05,영천시,화북면,2009.0,True,False,False,False,False
3167,3168,개방화장실,법제3조제17호-영제3조제2항제1호,보현산댐 짚와이어,경상북도 영천시 화북면 배나무정길 196,경상북도 영천시 화북면 입석리 171,2,2,0,0,0,0,4,0,0,영천시시설관리공단,,정시,정시(09:00∼18:00),2016-01,36.1437244,128.9647908,공공기관-지방자치단체,수세식,Y,N,없음,N,N,없음,,2024-08-05,영천시,화북면,2016.0,False,False,False,False,False
3168,3169,개방화장실,법제3조제16호-영제3조제1항제4호,평생학습관,경상북도 영천시 최무선로 243,경상북도 영천시 성내동 140,11,12,3,0,0,0,31,2,0,영천시평생학습관,,정시,정시(09:00∼18:00),2014-12,35.9652578,128.9264808,공공기관-지방자치단체,수세식,Y,N,없음,N,Y,여자화장실,,2024-08-05,영천시,성내동,2014.0,True,False,False,True,False
3169,3170,개방화장실,법제3조제16호-영제3조제1항제1호,농업기술센터,경상북도 영천시 천문로 622-13,경상북도 영천시 오미동 1146-2,13,14,0,0,0,0,17,0,0,영천시농업기술센터,,상시,,2006-01,35.9909563,128.9259242,공공기관-지방자치단체,수세식,Y,N,없음,N,N,없음,,2024-08-05,영천시,오미동,2006.0,False,False,False,False,False
3170,3171,개방화장실,법제3조제16호-영제3조제1항제2호,영천한의마을,경상북도 영천시 천문로 485,경상북도 영천시 화룡동 43,12,9,0,0,0,0,15,0,0,영천시시설관리공단,,상시,,2018-12,35.9777982,128.9220307,공공기관-지방자치단체,수세식,Y,N,없음,N,Y,여자화장실,,2024-08-05,영천시,화룡동,2018.0,True,False,False,False,False
3171,3172,개방화장실,법제3조제16호-영제3조제1항제4호,영천시립도서관,경상북도 영천시 중앙동1길 80,경상북도 영천시 문외동 245-3,11,14,1,1,1,1,26,1,2,평생학습관,054-339-7777,정시,정시(08:00~23:00),2014-01,35.9753467,128.9327899,공공기관-지방자치단체,수세식,Y,N,없음,N,Y,남자화장실+여자화장실,,2024-08-05,영천시,문외동,2014.0,True,False,False,True,True
3172,3173,개방화장실,법제3조제16호-영제3조제1항제2호,포은정몽주생가,경상북도 영천시 임고면 효자로 342,경상북도 영천시 임고면 우항리 183,2,2,0,0,0,0,2,0,0,영천시문화예술과,,상시,,2015-01,36.0108968,128.9899395,공공기관-지방자치단체,수세식,Y,N,없음,N,Y,여자화장실,,2024-08-05,영천시,임고면,2015.0,True,False,False,False,False
3173,3174,개방화장실,법제3조제16호-영제3조제1항제2호,충효관,경상북도 영천시 임고면 포은로 447,경상북도 영천시 양항리 493,1,2,0,0,0,0,2,0,0,영천시문화예술과,,상시,,2012-01,36.0167163,128.9732494,공공기관-지방자치단체,수세식,Y,N,없음,N,N,없음,,2024-08-05,영천시,양항리,2012.0,False,False,False,False,False
3174,3175,개방화장실,법제3조제16호-영제3조제1항제2호,포은유물관,경상북도 영천시 임고면 포은로 447,경상북도 영천시 양항리 493,1,3,1,0,0,0,3,0,0,영천시문화예술과,,상시,,2012-01,36.0167163,128.9732494,공공기관-지방자치단체,수세식,Y,N,없음,N,Y,여자화장실,,2024-08-05,영천시,양항리,2012.0,True,False,False,True,False
3175,3176,개방화장실,법제3조제16호-영제3조제1항제2호,포은연수관,경상북도 영천시 임고면 포은로 447,경상북도 영천시 양항리 493,2,3,1,0,0,0,4,0,0,영천시문화예술과,,상시,,2017-01,36.0167163,128.9732494,공공기관-지방자치단체,수세식,Y,N,없음,N,Y,여자화장실,,2024-08-05,영천시,양항리,2017.0,True,False,False,True,False
3176,3177,개방화장실,법제3조제1호,운주산승마자연휴양림,경상북도 영천시 임고면 승마휴양림길 105,경상북도 영천시 임고면 황강리 산9,4,4,0,0,0,0,4,0,0,영천시농업기술센터축산과,,상시,,2006-12,36.0352059,128.9969616,공공기관-지방자치단체,수세식,Y,N,없음,N,N,없음,,2024-08-05,영천시,임고면,2006.0,False,False,False,False,False
3177,3178,개방화장실,법제3조제16호-영제3조제1항제1호,청소년수련관,경상북도 영천시 운동장로 94,경상북도 영천시 교촌동 336-1,4,5,0,0,0,0,4,0,0,영천시체육시설사업소,,상시,,2004-01,35.9712912,128.9232884,공공기관-지방자치단체,수세식,Y,N,없음,N,N,없음,,2024-08-05,영천시,교촌동,2004.0,False,False,False,False,False
3178,3179,개방화장실,법제3조제13호,종합스포츠센터,경상북도 영천시 운동장로 94,경상북도 영천시 교촌동 336-1,4,5,0,0,0,0,5,0,0,영천시체육시설사업소,,상시,,2006-01,35.9712912,128.9232884,공공기관-지방자치단체,수세식,Y,N,없음,N,N,없음,,2024-08-05,영천시,교촌동,2006.0,False,False,False,False,False
3179,3180,개방화장실,법제3조제13호,최무선관,경상북도 영천시 운동장로 92,경상북도 영천시 교촌동 336-2,6,8,0,0,0,0,7,0,0,영천시체육시설사업소,054-339-7477,상시,,2006-01,35.9701685,128.9221372,공공기관-지방자치단체,수세식,Y,N,없음,N,N,없음,,2024-08-05,영천시,교촌동,2006.0,False,False,False,False,False
3180,3181,개방화장실,법제3조제13호,시민운동장,경상북도 영천시 운동장로 84,경상북도 영천시 교촌동 314,32,80,0,0,0,0,85,0,0,영천시체육시설사업소,,상시,,1990-01,35.9695414,128.9243021,공공기관-지방자치단체,수세식,Y,N,없음,N,N,없음,,2024-08-05,영천시,교촌동,1990.0,False,False,False,False,False
3181,3182,개방화장실,법제3조제13호,영천체육관,"경상북도 영천시 운동장로 60, 영천실내체육관 (교촌동)",경상북도 영천시 교촌동 287,13,32,0,0,0,0,30,0,0,영천시체육시설사업소,,상시,,1998-01,35.9679356,128.9250355,공공기관-지방자치단체,수세식,Y,N,없음,N,N,없음,,2024-08-05,영천시,교촌동,1998.0,False,False,False,False,False
3182,3183,개방화장실,법제3조제13호,생활체육관,"경상북도 영천시 운동장로 55, 생활체육관 (교촌동)",경상북도 영천시 교촌동 282-1,2,3,0,0,0,0,4,0,0,영천시체육시설사업소,,상시,,2010-01,35.9679275,128.9235928,공공기관-지방자치단체,수세식,Y,N,없음,N,N,없음,,2024-08-05,영천시,교촌동,2010.0,False,False,False,False,False
3183,3184,개방화장실,법제3조제16호-영제3조제1항제1호,영천시의회,"경상북도 영천시 시청로 16, 영천시청 (문외동)",경상북도 영천시 문외동27,1,3,1,0,0,0,2,0,0,영천시회계정보과,,정시,정시(09:00∼18:00),2015-02,35.9729667,128.9393302,공공기관-지방자치단체,수세식,Y,N,없음,N,N,없음,,2024-08-05,영천시,문외동27,2015.0,False,False,False,True,False
3184,3185,개방화장실,법제3조제16호-영제3조제1항제1호,청통면사무소,경상북도 영천시 청통면 금호로 978,경상북도 영천시 청통면 치일리 14-1,4,4,0,0,0,0,4,0,0,영천시청통면행정복지센터,,정시,정시(09:00∼18:00),1982-11,35.9921216,128.8230126,공공기관-지방자치단체,수세식,Y,N,없음,N,N,없음,,2024-08-05,영천시,청통면,1982.0,False,False,False,False,False
3185,3186,개방화장실,법제3조제13호,금호체육관,경상북도 영천시 금호읍 금호로 171,경상북도 영천시 금호읍 교대리 130-3,4,8,0,0,0,0,5,0,0,영천시금호읍행정복지센터,,상시,,2005-01,35.9339269,128.8798274,공공기관-지방자치단체,수세식,Y,N,없음,N,N,없음,,2024-08-05,영천시,금호읍,2005.0,False,False,False,False,False
3186,3187,개방화장실,법제3조제16호-영제3조제1항제4호,금호도서관,"경상북도 영천시 금호읍 금호로 173, 금호공공도서관",경상북도 영천시 금호읍 교대리 130-2 금호공공도서관,7,8,0,0,0,0,7,0,0,경상북도교육청,,상시,,2005-01,35.9343713,128.8798418,공공기관-지방자치단체,수세식,Y,N,없음,N,N,없음,,2024-08-05,영천시,금호읍,2005.0,False,False,False,False,False
3187,3188,개방화장실,법제3조제16호-영제3조제1항제1호,금호읍행정복지센터,경상북도 영천시 금호읍 금호로 153,경상북도 영천시 금호읍 교대리 149-2,12,10,1,0,0,0,12,1,0,영천시금호읍행정복지센터,,정시,정시(09:00∼18:00),2006-12,35.9333531,128.8776776,공공기관-지방자치단체,수세식,Y,N,없음,N,N,없음,,2024-08-05,영천시,금호읍,2006.0,False,False,False,True,False
3188,3189,개방화장실,법제3조제5호,영천전투메모리얼파크 체험권 지휘통제소,경상북도 영천시 호국영웅길 15,경상북도 영천시 창구동 188,3,3,0,0,0,0,6,0,0,영천시복지정책과,,상시,,2017-01,,,공공기관-지방자치단체,수세식,Y,N,없음,N,N,없음,,2024-08-05,영천시,창구동,2017.0,False,False,False,False,False
3189,3190,공중화장실,법제3조제5호,금호강변공원 화장실,,경상북도 영천시 금호읍 덕성리 278,2,3,1,1,0,0,5,0,0,영천시공원관리사업소,054-330-6892,상시,,2022-06,,,공공기관-지방자치단체,수세식,Y,Y,여자화장실,N,N,없음,,2024-08-05,영천시,금호읍,2022.0,False,False,True,True,False
3190,3191,공중화장실,법제3조제5호,보현산댐 하류공원 공원화장실,경상북도 영천시 화북면 천문로 2477,경상북도 영천시 화북면 횡계리 512-1,3,3,1,0,0,0,5,1,0,영천시공원관리사업소,,상시,,2014-12,36.1214708,128.9397812,공공기관-지방자치단체,수세식,Y,N,없음,N,N,없음,,2024-08-05,영천시,화북면,2014.0,False,False,False,True,False
3191,3192,공중화장실,법제3조제13호,파크골프장(1),,경상북도 영천시 조교동 52-2,1,1,0,0,0,0,1,0,0,영천시새마을체육과,,상시,,2014-06,35.9678449,128.9655997,공공기관-지방자치단체,수거식,Y,N,없음,N,N,없음,,2024-08-05,영천시,조교동,2014.0,False,False,False,False,False
3192,3193,공중화장실,법제3조제13호,영천야구장,경상북도 영천시 운동장로 158-28(화룡동),경상북도 영천시 화룡동 산37,2,3,0,0,0,0,5,0,0,영천시체육시설사업소,,상시,,2019-12,35.9760709,128.9242788,공공기관-지방자치단체,수세식,Y,Y,여자화장실,N,N,없음,,2024-08-05,영천시,화룡동,2019.0,False,False,True,False,False
3193,3194,공중화장실,법제3조제13호,영천게이트볼장,경상북도 영천시 운동장로 62,경상북도 영천시 교촌동 312,1,1,0,0,0,0,1,0,0,영천시체육시설사업소,,상시,,2009-03,35.9690107,128.9255518,공공기관-지방자치단체,수거식,Y,N,없음,N,N,없음,,2024-08-05,영천시,교촌동,2009.0,False,False,False,False,False
3194,3195,공중화장실,법제3조제5호,금노2공원 공중화장실,"경상북도 영천시 담안7길 34, 금노2공원 공중화장실 (금노동)",경상북도 영천시 금노동 604-104 금노2공원 공중화장실,3,3,0,0,0,0,6,0,0,영천시남부동행정복지센터,,상시,,2007-02,35.9591062,128.9319435,공공기관-지방자치단체,수세식,Y,Y,여자화장실,N,N,없음,,2024-08-05,영천시,금노동,2007.0,False,False,True,False,False
3195,3196,공중화장실,법제3조제4호,영천공설시장 공중화장실(3),경상북도 영천시 시장4길 47-2,경상북도 영천시 완산동 994-51,3,3,0,0,0,0,3,0,0,영천시일자리노사과,,상시,,2005-02,35.9647387,128.9385464,공공기관-지방자치단체,수세식,Y,Y,여자화장실,N,N,없음,,2024-08-05,영천시,완산동,2005.0,False,False,True,False,False
3196,3197,공중화장실,법제3조제4호,영천공설시장 공중화장실(2),,경상북도 영천시 완산동 1065-24,3,3,1,0,0,0,3,0,0,영천시일자리노사과,,상시,,2005-02,35.9646784,128.9370705,공공기관-지방자치단체,수세식,Y,Y,여자화장실,N,Y,남자화장실+여자화장실,,2024-08-05,영천시,완산동,2005.0,True,False,True,True,False
3197,3198,공중화장실,법제3조제4호,영천공설시장 공중화장실(1),경상북도 영천시 시장4길 52(완산동),경상북도 영천시 완산동 982-3,3,4,1,0,0,0,8,0,0,영천시일자리노사과,,상시,,2005-02,35.9642679,128.938571,공공기관-지방자치단체,수세식,Y,N,없음,N,N,없음,,2024-08-05,영천시,완산동,2005.0,False,False,False,True,False
3198,3199,공중화장실,법제3조제5호,그린환경센터 공중화장실,경상북도 영천시 바깥완산길 433,경상북도 영천시 완산동 산3-1,2,1,1,0,0,0,4,1,0,영천시자원순환과,,상시,,2020-09,35.9648047,128.9670657,공공기관-지방자치단체,수세식,Y,Y,여자화장실,N,N,없음,,2024-08-05,영천시,완산동,2020.0,False,False,True,True,False
3200,3201,공중화장실,법제3조제13호,그린환경센터체육공원공중화장실,,경상북도 영천시 완산동 16-1,1,3,1,0,0,0,4,0,0,영천시자원순환과,,상시,,2011-12,,,공공기관-지방자치단체,수세식,Y,Y,여자화장실,N,N,없음,,2024-08-05,영천시,완산동,2011.0,False,False,True,True,False
3201,3202,공중화장실,법제3조제5호,영천강변공원 공중화장실(2),경상북도 영천시 강변로 189-17,경상북도 영천시 완산동 1026-2,2,2,0,0,0,0,4,0,0,영천시공원관리사업소,,상시,,2011-10,35.9675569,128.9392193,공공기관-지방자치단체,수세식,Y,Y,여자화장실,N,N,없음,,2024-08-05,영천시,완산동,2011.0,False,False,True,False,False
3202,3203,공중화장실,법제3조제5호,숭렬당 공중화장실,경상북도 영천시 숭렬당길 1 (성내동),경상북도 영천시 성내동 9-2,1,2,0,0,0,0,2,0,0,영천시문화예술과,,상시,,2015-04,35.9664103,128.9289355,공공기관-지방자치단체,수세식,Y,Y,여자화장실,N,N,없음,,2024-08-05,영천시,성내동,2015.0,False,False,True,False,False
