구분명,행사명,행사내용,장소명,담당부서명,행사시작일자,행사종료일자,데이터기준일자
축제,우리농업살리기 후원주점 행사,도농교류,SD웨딩컨벤션 2층 연회장,농업정책과,2019-11-13,2019-11-13,2022-11-28
축제,우리농업살리기 후원주점 행사,친목도모,SD웨딩컨벤션 2층 연회장,농업정책과,2019-11-13,2019-11-13,2022-11-28
축제,애니메이션 음악 콘서트,디즈니 애니메이션 ost 공연,영천시립도서관 지산홀,평생학습관,2019-11-13,2019-11-13,2022-11-28
축제,다둥이가족 사랑 축제,식전공연,영천시민회관,사회복지과,2019-11-14,2019-11-14,2022-11-28
축제,다둥이가족 사랑 축제,개회식,영천시민회관,사회복지과,2019-11-14,2019-11-14,2022-11-28
축제,다둥이가족 사랑 축제,공연관람,영천시민회관,사회복지과,2019-11-14,2019-11-14,2022-11-28
축제,다둥이가족 사랑 축제,부대행사,영천시민회관,사회복지과,2019-11-14,2019-11-14,2022-11-28
행사,전몰 학도의용군 추념식,추념식 행사,국립영천호국원,평생학습관,2019-11-15,2019-11-15,2022-11-28
행사,포은서예휘호대회,서예휘호대회,임고복지회관,문화예술과,2019-11-16,2019-11-16,2022-11-28
행사,경북유림총화대회 및 인성교육평가회,유교문화 활용방안 모색,시민회관,문화예술과,2019-11-20,2019-11-20,2022-11-28
기타,영천예술창작스튜디오 제11기 입주작가 릴레이전(part3)&오픈스튜디오,입주작가 작품 전시,영천예술창작스튜디오 1전시실,문화예술과,2019-11-20,2019-11-24,2022-11-28
기타,영천예술창작스튜디오 제11기 입주작가 릴레이전(part3)&오픈스튜디오,입주작가 작품 전시,영천예술창작스튜디오 2전시실,문화예술과,2019-11-20,2019-11-24,2022-11-28
행사,새마을지도자 한마음 전진대회,의식행사,영천체육관,새마을체육과,2019-11-21,2019-11-21,2022-11-28
행사,새마을지도자 한마음 전진대회,시상,영천체육관,새마을체육과,2019-11-21,2019-11-21,2022-11-28
행사,새마을지도자 한마음 전진대회,축하공연,영천체육관,새마을체육과,2019-11-21,2019-11-21,2022-11-28
행사,새마을지도자 한마음 전진대회,읍면동 회원 화합대회,영천체육관,새마을체육과,2019-11-21,2019-11-21,2022-11-28
행사,스타배 배드민턴 대회,배드민턴 대회,영천체육관,체육시설사업소,2019-11-22,2019-11-24,2022-11-28
행사,스타배 배드민턴 대회,배드민턴 대회,생활체육관,체육시설사업소,2019-11-22,2019-11-24,2022-11-28
행사,스타배 배드민턴 대회,배드민턴 대회,금호체육관,체육시설사업소,2019-11-22,2019-11-24,2022-11-28
행사,한방김장김치 담그기 행사,한방김장김치 담그기 체험 행사,농업기술센터 구내식당,농업정책과,2019-11-23,2019-11-23,2022-11-28
행사,한방김장김치 담그기 행사,시식회,농업기술센터 구내식당,농업정책과,2019-11-23,2019-11-23,2022-11-28
행사,최무선과학관 학부모 과학교실 특강,과학교실 특강,최무선과학관 창의과학체험실,문화예술과,2019-11-23,2019-11-23,2022-11-28
행사,경북 동호인 화합 축구대회,축구대회,단포축구장,새마을체육과,2019-11-23,2019-11-24,2022-11-28
행사,경북 동호인 화합 축구대회,축구대회,단포축구장,새마을체육과,2019-12-01,2019-12-01,2022-11-28
기타,영화상영(가장보통의연애),영화상영,시민회관,문화예술과,2019-11-22,2019-11-23,2022-11-28
축제,문화가 있는 날-우리춤이야기,무용,대창면 문화센터,문화예술과,2019-11-25,2019-11-25,2022-11-28
축제,문화가 있는 날-우리춤이야기,민요,대창면 문화센터,문화예술과,2019-11-25,2019-11-25,2022-11-28
축제,문화가 있는 날-우리춤이야기,가요공연,대창면 문화센터,문화예술과,2019-11-25,2019-11-25,2022-11-28
행사,별빛유아숲체험원 개원식,체험원 개원식,영천시 망정동 산14-5번지,산림과,2019-11-26,2019-11-26,2022-11-28
행사,새마을 사랑의 김장 담가주기 행사,김장,영천시새마을회관 앞 마당,새마을체육과,2019-11-28,2019-11-28,2022-11-28
행사,새마을 사랑의 김장 담가주기 행사,소외이웃 나눔,영천시새마을회관 앞 마당,새마을체육과,2019-11-28,2019-11-28,2022-11-28
행사,귀농인 한마음대회,식전행사,영천체육관,농촌지도과,2019-11-28,2019-11-28,2022-11-28
행사,귀농인 한마음대회,개회식,영천체육관,농촌지도과,2019-11-28,2019-11-28,2022-11-28
행사,귀농인 한마음대회,화합한마당,영천체육관,농촌지도과,2019-11-28,2019-11-28,2022-11-28
행사,귀농인 한마음대회,폐회식,영천체육관,농촌지도과,2019-11-28,2019-11-28,2022-11-28
축제,매직 버블쇼 도서관에서 즐겨요!,특별공연,영천시립도서관 지산홀,평생학습관,2019-11-29,2019-11-29,2022-11-28
행사,영천대마기 전국종합마술 축제,종합마술 승마대회,운주산승마조련센터,축산과,2019-11-30,2019-12-01,2022-11-28
축제,크리스마스트리문화축제 점등식,식전공연,시민회관 일대,문화예술과,2019-12-01,2019-12-01,2022-11-28
축제,크리스마스트리문화축제 점등식,트리점등예배,시민회관 일대,문화예술과,2019-12-01,2019-12-01,2022-11-28
축제,크리스마스트리문화축제 점등식,내빈 소개 및 축사,시민회관 일대,문화예술과,2019-12-01,2019-12-01,2022-11-28
축제,크리스마스트리문화축제 점등식,축하공연,시민회관 일대,문화예술과,2019-12-01,2019-12-01,2022-11-28
축제,크리스마스트리문화축제 점등식,개막 및 점등식,시민회관 일대,문화예술과,2019-12-01,2019-12-01,2022-11-28
행사,영천YMCA 2019 사랑의 김장나누기,김치나눔,영천시종합복지센터 지하 1층,복지정책과,2019-12-03,2019-12-03,2022-11-28
행사,축산연합회 한마음단합대회,단합대회,생활체육관,체육시설사업소,2019-12-03,2019-12-03,2022-11-28
축제,학교폭력예방 뮤지컬,학교폭력예방 뮤지컬,시민회관 스타홀,새마을체육과,2019-12-04,2019-12-04,2022-11-28
축제,예술창작스튜디오 제11기 입주작가 릴레이전(part4)&오픈스튜디오,입주작가 작품 전시,영천예술창작스튜디오 1전시실,문화예술과,2019-12-04,2019-12-08,2022-11-28
축제,예술창작스튜디오 제11기 입주작가 릴레이전(part4)&오픈스튜디오,입주작가 작품 전시,영천예술창작스튜디오 2전시실,문화예술과,2019-12-04,2019-12-08,2022-11-28
축제,고3 청소년 꿈 토크 콘서트,장기자랑 및 토크 콘서트,시민회관,새마을체육과,2019-12-05,2019-12-05,2022-11-28
행사,자원봉사자 대회 및 기념식,자원봉사자 대회 및 기념식,영천체육관,체육시설사업소,2019-12-05,2019-12-05,2022-11-28
축제,시민과 함께하는 2019 아트 페스티벌,무용과 노래공연 및 댄스공연,영천시민회관 스타홀,문화예술과,2019-12-07,2019-12-07,2022-11-28
행사,경북 협회장기 태권도대회,태권도대회,영천체육관,체육시설사업소,2019-12-07,2019-12-08,2022-11-28
기타,시민정보화교육 동계특강,엑셀과 포토샵 교육,IT플라자,홍보전산실,2019-12-09,2019-12-13,2022-11-28
기타,시민정보화교육 동계특강,컴퓨터와 한글 기초교육,금호읍 정보화교육장,홍보전산실,2019-12-09,2019-12-13,2022-11-28
행사,찾아가는 역사박물관 경북순회전시,유물 및 인물자료 전시,의성고등학교 체육관,문화예술과,2019-12-09,2019-12-09,2022-11-28
행사,영천시농민회 한마음대회 행사,친목도모 및 체육행사,임고면 복지회관,농업정책과,2019-12-10,2019-12-10,2022-11-28
행사,생명살림운동 실천 재활용품 수집 경진대회,의식행사 및 결의문 낭독과 재활용품 운반,영천강변공원 주차장,새마을체육과,2019-12-10,2019-12-10,2022-11-28
행사,시각장애인연합회 후원인 송년의 날 행사,기념식 및 교육과 노래자랑,스타컨벤션웨딩 2층,사회복지과,2019-12-11,2019-12-11,2022-11-28
행사,시민사회교육 수료식 및 어울림한마당,수료식 및 작품발표회와 배움나눔장터 운영,교육문화센터 우석홀,평생학습관,2019-12-12,2019-12-12,2022-11-28
행사,하이테크파크지구 개발사업 사업착수식,착수식 개최,영천시 녹전동 양호길 55 일원,기업유치과,2019-12-12,2019-12-12,2022-11-28
기타,채약문묵회 제20회 전시회,작품전시,영천예술창작스튜디오 1전시실,문화예술과,2019-12-14,2019-12-22,2022-11-28
기타,채약문묵회 제20회 전시회,작품전시,영천예술창작스튜디오 2전시실,문화예술과,2019-12-14,2019-12-22,2022-11-28
축제,유리바다 합창단 정기연주회,정기연주회,시민회관,문화예술과,2019-12-14,2019-12-14,2022-11-28
행사,결혼이민여성 한국어 교육 수료식,수료식 및 소감문 발표,건강가정다문화가족지원센터,사회복지과,2019-12-16,2019-12-16,2022-11-28
기타,송년단합 및 안보결의대회,안보결의대회 및 오찬,영천한정식,복지정책과 ,2019-12-16,2019-12-16,2022-11-28
행사,영천별빛한우 브랜드 교육,관리교육,센터 강당,축산과,2019-12-16,2019-12-16,2022-11-28
축제,나는 밴드다 공연,음악공연,교육문화센터 우석홀,평생학습관,2019-12-18,2019-12-18,2022-11-28
행사,별빛회 15주년 기념행사,발전방향 모색과 화합의 시간,SD웨딩컨벤션,새마을체육과,2019-12-18,2019-12-18,2022-11-28
축제,명사초청특강 및 문화가족한마당,국악공연 및 개회식,영천시민회관,문화예술과,2019-12-19,2019-12-19,2022-11-28
기타,(사)한국미술협회 영천지부 회원전,유화·수채화·서각·한국화 등 38점 전시,영천시민회관,문화예술과,2019-12-20,2019-12-24,2022-11-28
행사,(사)한국척수장애인 송년의날,인사말과 축사 및 점심식사와 노래자랑,장애인회관 2층,사회복지과,2019-12-21,2019-12-21,2022-11-28
행사,재대구영천향우회 정기총회 및 회장 이취임식,정기총회 및 취임식,호텔인터불고,총무과,2019-12-23,2019-12-23,2022-11-28
행사,바르게살기운동영천시협의회 선진시민의식함양 실천결의대회,행동강령낭독과 시상 및 축사,임고서원 충효문화수련원,새마을체육과,2019-12-24,2019-12-24,2022-11-28
행사,지역사회보장협의체 워크숍,표창 및 특강과 우수사례발표,영천상공회의소 컨퍼런스 홀,복지정책과 ,2019-12-26,2019-12-26,2022-11-28
행사,영천향교 국학학원 학예발표회,작품전시 및 학예발표회,영천향교 국학학원 3층 대강당,문화예술과,2019-12-27,2019-12-27,2022-11-28
기타,김은정피아노 연주회,피아노연주회,교육문화센터 우석홀,평생학습관,2019-12-27,2019-12-27,2022-11-28
기타,영화상영(82년생 김지영),영화상영,시민회관 스타홀,문화예술과,2019-12-27,2019-12-27,2022-11-28
행사,영천별빛한우 경과보고 및 홍보 시식행사,경과보고 및 홍보,영천축협 한우프라자,축산과,2019-12-30,2019-12-30,2022-11-28
행사,자연보호 산불 조심 캠페인 추진,산불조심캠페인,관내 산지 및 등산로 일대,새마을체육과,2019-12-31,2019-12-31,2022-11-28
축제,시민과 함께하는 송년음악회,송년음악회,영천시민회관 스타홀,문화예술과,2019-12-31,2019-12-31,2022-11-28
기타,컴퓨터 동계 특강,파워포인트 기초와 엑셀자격증 교육,아이존IT플라자,회계정보과,2020-01-02,2020-01-31,2022-11-28
기타,컴퓨터 동계 특강,파워포인트 기초와 엑셀 기초,금호읍 정보화교육장,회계정보과,2020-01-02,2020-01-31,2022-11-28
기타,컴퓨터 동계 특강,파워포인트 기초와 엑셀 기초,시정보화교육장,회계정보과,2020-01-02,2020-01-31,2022-11-28
행사,2020 영천문화원 신년교례회,신년인사 및 시루떡 절단,영천문화원 2층 대강당,문화예술과,2020-01-02,2020-01-02,2022-11-28
행사,2020 영천문화원 신년교례회,건배 제의,영천문화원 2층 대강당,문화예술과,2020-01-02,2020-01-02,2022-11-28
행사,2020 새해농업인실용교육(포도),포도재배기술 교육,고경면복지회관,농촌지도과,2020-01-03,2020-01-03,2022-11-28
행사,2020 새해농업인실용교육(복숭아),복숭아재배기술 교육,농업기술센터 강당,농촌지도과,2020-01-03,2020-01-03,2022-11-28
기타,영천와인학교 소믈리에 자격검정 필기시험,소믈리에 자격검정 필기시험,농업기술센터 와인학교 2층 강의실,기술지원과,2020-01-04,2020-01-04,2022-11-28
기타,독서문화 프로그램,개화기 사건파일,영천시립도서관,평생학습관,2020-01-30,2020-01-30,2022-11-28
기타,1월 안전점검의 날 캠페인 실시,홍보캠페인,(구)망정사거리,안전재난하천과,2020-01-06,2020-01-06,2022-11-28
기타,영천와인학교 소믈리에 양성과정 교육,소믈리에 실기시험 교육,영천시농업기술센터 와인학교 2층 강의실,기술지원과,2020-01-07,2020-01-07,2022-11-28
기타,2020 새해농업인실용교육(복숭아),복숭아재배기술 교육,금호읍회의실,농촌지도과,2020-01-07,2020-01-07,2022-11-28
기타,2020 새해농업인실용교육(포도),포도재배기술 교육,북안면복지회관,농촌지도과,2020-01-07,2020-01-07,2022-11-28
기타,시민사회교육 수강생 모집,제과제빵 교육,교육문화센터,평생학습관,2020-01-13,2020-01-17,2022-11-28
행사,시민문화교실 민요반 개강식,민요반 개강식,시민회관,문화예술과,2020-01-14,2020-01-14,2022-11-28
행사,새해농업인실용교육(포도),포도실재배기술 교육,금호농협APC 회의실,농촌지도과,2020-01-14,2020-01-14,2022-11-28
행사,무용학원 정기발표회,M댄스 아카데미 정기공연,시민회관 스타홀,문화예술과,2020-01-18,2020-01-18,2022-11-28
행사,새해농업인실용교육(포도),포도재배기술 교육,화남면다목적회관,농촌지도과,2020-01-21,2020-01-21,2022-11-28
행사,새해농업인실용교육(복숭아),복숭아재배기술 교육,화산면복지회관,농촌지도과,2020-01-21,2020-01-21,2022-11-28
기타,초등학생 리더십 강의,리더십 강의,교육문화센터 회의실,평생학습관,2020-01-28,2020-01-30,2022-11-28
행사,여성 신년인사회 개최,신년인사,스타컨벤션웨딩,사회복지과,2020-01-28,2020-01-28,2022-11-28
행사,여성 신년인사회 개최,축하공연,스타컨벤션웨딩,사회복지과,2020-01-28,2020-01-28,2022-11-28
행사,여성 신년인사회 개최,장학금 및 불우이웃돋기 성금 기탁,스타컨벤션웨딩,사회복지과,2020-01-28,2020-01-28,2022-11-28
행사,여성 신년인사회 개최,신녀축하 떡 커팅,스타컨벤션웨딩,사회복지과,2020-01-28,2020-01-28,2022-11-28
행사,여성 신년인사회 개최,오찬,스타컨벤션웨딩,사회복지과,2020-01-28,2020-01-28,2022-11-28
기타,태권도 관장 직무교육,태권도 표준화 교육,시민회관 스타홀,문화예술과,2020-02-01,2020-02-01,2022-11-28
기타,아이돌보미 양성과정 교육,기본소양교육,교육문화센터 강의실,평생학습관,2020-01-16,2020-01-31,2022-11-28
기타,아이돌보미 양성과정 교육,아동발달 단계별 아이돌보미서비스교육,교육문화센터 강의실,평생학습관,2020-01-16,2020-01-31,2022-11-28
기타,직장맘 자녀 안심케어 사업 운영,돌봄 및 교육프로그램 운영,교육문화센터,평생학습관,2020-01-02,2020-02-04,2022-11-28
행사,여성기업인 간담회,기업지원 시책사업 안내,든담(화남면 신선로 113),기업유치과,2020-02-03,2020-02-03,2022-11-28
행사,여성기업인 간담회,기업애로 청취,든담(화남면 신선로 113),기업유치과,2020-02-03,2020-02-03,2022-11-28
기타,안전점검의 날 캠페인 실시,안전신고,서문육거리,안전재난하천과,2020-02-04,2020-02-04,2022-11-28
기타,안전점검의 날 캠페인 실시,안전점검의 날 홍보캠페인,서문육거리,안전재난하천과,2020-02-04,2020-02-04,2022-11-28
행사,자원봉사단체 간담회,자원봉사센터 주요사업 안내,다나눔센터 1층 교육실,새마을체육과,2020-02-04,2020-02-04,2022-11-28
행사,영천축협 정기총회,영천축협 2020년도 정기총회,영천축협 본점 회의실 3층,축산과,2020-02-07,2020-02-07,2022-11-28
행사,영천시 산림조합 제59기 정기총회,감사패 및 표창패수여,영천시 산림조합 3층 회의실,산림과,2020-02-10,2020-02-10,2022-11-28
행사,영천시 산림조합 제59기 정기총회,장학금기탁,영천시 산림조합 3층 회의실,산림과,2020-02-10,2020-02-10,2022-11-28
행사,영천시 산림조합 제59기 정기총회,사진촬영,영천시 산림조합 3층 회의실,산림과,2020-02-10,2020-02-10,2022-11-28
기타,건강체중 만들기 프로그램(1기) 참가자 모집,요가,영천시 보건소 3층,보건소,2020-02-10,2020-02-14,2022-11-28
기타,건강체중 만들기 프로그램(1기) 참가자 모집,스포츠 댄스,영천시 보건소 3층,보건소,2020-02-10,2020-02-14,2022-11-28
기타,건강체중 만들기 프로그램(1기) 참가자 모집,라인댄스,영천시 보건소 3층,보건소,2020-02-10,2020-02-14,2022-11-28
기타,건강체중 만들기 프로그램(1기) 참가자 모집,그룹운동,영천시 보건소 3층,보건소,2020-02-10,2020-02-14,2022-11-28
행사,지적장애인 정기총회,2019년도 결산 및 사업실적 보고,금노동 장애인회관 식당,사회복지과,2020-02-14,2020-02-14,2022-11-28
행사,지적장애인 정기총회,2020년도 사업계획 및 예산 의결,금노동 장애인회관 식당,사회복지과,2020-02-14,2020-02-14,2022-11-28
행사,관광사진공모전 입상작품 전시,입상작품 전시,최무선과학관,관광진흥과,2020-02-11,2020-03-01,2022-11-28
행사,오리장림 자연유산 민속행사,마을수호 및 지역안녕 기원 전통행사,오리장림,문화예술과,2020-02-19,2020-02-19,2022-11-28
행사,무료급식 실시,무료 급식비 지원 및 자원봉사,영천시장애인종합복지관 식당,사회복지과,2020-02-19,2020-02-19,2022-11-28
행사,6.25참전유공자회 정기총회,이임사,영천한정식,복지정책과,2020-02-20,2020-02-20,2022-11-28
행사,6.25참전유공자회 정기총회,공로패(감사패)전달,영천한정식,복지정책과,2020-02-20,2020-02-20,2022-11-28
행사,6.25참전유공자회 정기총회,취임사,영천한정식,복지정책과,2020-02-20,2020-02-20,2022-11-28
행사,6.25참전유공자회 정기총회,기념촬영,영천한정식,복지정책과,2020-02-20,2020-02-20,2022-11-28
기타,2020년도 농정시책설명회,보랏빛향기 커뮤니티센터 건축 추진현황 보고,금호읍 행정복지센터,건설과,2020-02-21,2020-02-21,2022-11-28
기타,2020년도 농정시책설명회,농촌생활환경 정비사업 향후 일정 조율,금호읍 행정복지센터,건설과,2020-02-21,2020-02-21,2022-11-28
축제,제1회 영천한약축제,한약축제,(구)공병대,과수한방과,2003-10-02,2003-10-04,2022-11-28
축제,제1회 영천한약축제,한약축제,도동생약유통단지,과수한방과,2003-10-02,2003-10-04,2022-11-28
축제,제2회 영천한약축제,한약축제,(구)공병대,과수한방과,2004-10-02,2004-10-05,2022-11-28
축제,제3회 영천한약축제,한약축제,(구)공병대,과수한방과,2005-10-02,2005-10-06,2022-11-28
축제,제4회 영천한약축제,한약축제,완산동 약초거리 일원,과수한방과,2006-09-27,2006-10-01,2022-11-28
축제,제5회 영천한약축제,한약축제,완산동 약초거리 일원,과수한방과,2007-10-02,2007-10-06,2022-11-28
축제,제5회 영천한약축제,한약축제,도동한약유통단지,과수한방과,2007-10-02,2007-10-06,2022-11-28
축제,제6회 영천한약축제,한약축제,금호강 둔치,과수한방과,2008-10-02,2008-10-05,2022-11-28
축제,제7회 영천한약축제,한약축제,시청앞 금호강 둔치,과수한방과,2009-09-25,2009-09-27,2022-11-28
축제,제8회 영천한약장수축제,한약축제,완산동 영천역전,과수한방과,2010-10-01,2010-10-04,2022-11-28
축제,제9회 영천한약장수축제,한약축제,영천역광장,과수한방과,2010-10-01,2010-10-04,2022-11-28
축제,제9회 영천한약장수축제,한약축제,약령시장,과수한방과,2010-10-01,2010-10-04,2022-11-28
축제,제9회 영천한약장수축제,한약축제,도동한약유통단지,과수한방과,2010-10-01,2010-10-04,2022-11-28
축제,영천과일한약장수축제,한약축제,영천금호강 강변공원,과수한방과,2012-09-19,2012-09-23,2022-11-28
축제,영천과일한약장수축제,한약축제,약전거리,과수한방과,2012-09-19,2012-09-23,2022-11-28
축제,영천과일한약장수축제,한약축제,한약유통단지,과수한방과,2012-09-19,2012-09-23,2022-11-28
축제,영천한약과일축제,한약축제,영천강변공원,과수한방과,2013-10-02,2013-10-06,2022-11-28
축제,영천한약과일축제,한약축제,영천강변공원,과수한방과,2014-10-01,2014-10-05,2022-11-28
축제,영천한약축제,한약축제,약전거리,과수한방과,2015-10-16,2015-10-18,2022-11-28
축제,영천한약축제,한약축제,한약유통단지,과수한방과,2015-10-16,2015-10-18,2022-11-28
축제,영천한약과일축제,한약축제,영천강변공원,과수한방과,2016-09-30,2016-10-03,2022-11-28
축제,제1회 2004 보현산 별빛문화축제,별빛축제,보현 자연수련원,관광진흥과,2004-05-15,2004-05-16,2022-11-28
축제,제1회 2004 보현산 별빛문화축제,별빛축제,별빛마을,관광진흥과,2004-05-15,2004-05-16,2022-11-28
축제,제2회 2005 보현산 별빛문화축제,별빛축제,별빛마을,관광진흥과,2005-05-05,2005-05-08,2022-11-28
축제,제2회 2005 보현산 별빛문화축제,별빛축제,녹색농촌체험마을,관광진흥과,2005-05-05,2005-05-08,2022-11-28
축제,제3회 2006 보현산 별빛축제,별빛축제,보현산자락,관광진흥과,2006-07-28,2006-07-30,2022-11-28
축제,제4회 2007 보현산 별빛축제,별빛축제,검단마을,관광진흥과,2007-08-11,2007-08-12,2022-11-28
축제,제5회 2008 영천 보현산 별빛축제,별빛축제,검단마을,관광진흥과,2008-08-22,2008-08-24,2022-11-28
축제,제5회 2008 영천 보현산 별빛축제,별빛축제,별빛마을,관광진흥과,2008-08-22,2008-08-24,2022-11-28
축제,제6회 2009 영천 보현산 별빛축제,별빛축제,보현산천문과학관(정각리 별빛마을),관광진흥과,2009-05-03,2009-05-05,2022-11-28
축제,제6회 2009 영천 보현산 별빛축제,별빛축제,보현산천문대,관광진흥과,2009-05-03,2009-05-05,2022-11-28
축제,제6회 2009 영천 보현산 별빛축제,별빛축제,보현리 은하수마을,관광진흥과,2009-05-03,2009-05-05,2022-11-28
축제,제7회 2010 영천 보현산 별빛축제,별빛축제,보현산천문과학관(별빛마을),관광진흥과,2010-04-30,2010-05-02,2022-11-28
축제,제7회 2010 영천 보현산 별빛축제,별빛축제,자양면 보현리 은하수마을,관광진흥과,2010-04-30,2010-05-02,2022-11-28
축제,제8회 2011 영천 보현산 별빛축제,별빛축제,보현산자락,관광진흥과,2011-04-21,2011-04-24,2022-11-28
축제,제9회 2012 영천 보현산 별빛축제,별빛축제,보현산자락,관광진흥과,2012-04-26,2012-04-29,2022-11-28
축제,제10회 2013 영천 보현산 별빛축제,별빛축제,보현산자락,관광진흥과,2013-04-25,2013-04-28,2022-11-28
축제,제11회 2014 영천 보현산 별빛축제,별빛축제,보현산천문과학관 일원,관광진흥과,2014-10-03,2014-10-05,2022-11-28
축제,제12회 2015 영천 보현산 별빛축제,별빛축제,보현산자락,관광진흥과,2015-05-02,2015-05-05,2022-11-28
축제,제13회 2016 영천 보현산 별빛축제,별빛축제,보현산천문과학관 일원,관광진흥과,2016-07-22,2016-07-25,2022-11-28
축제,제14회 2017 영천 보현산 별빛축제,별빛축제,보현산자락,관광진흥과,2017-09-29,2017-10-02,2022-11-28
축제,제15회 2018 영천 보현산 별빛축제,별빛축제,보현산천문과학관 일원,관광진흥과,2018-10-07,2018-10-09,2022-11-28
축제,제16회 2019 영천 보현산 별빛축제,별빛축제,보현산천문과학관 일원,관광진흥과,2019-06-14,2019-06-16,2022-11-28
